Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Epistolario De Gasperi,https://epistolariodegasperi.it/#/,True,,False,,False,Italian DH Institutions,,True,"a volte carica tutte le lettere, a volte no",2015-03-29 05:01:44,2023-07-08 20:16:26
Alcide Digitale,https://alcidedigitale.fbk.eu/platform/,False,,False,,False,Italian DH Institutions,,True,alcuni filtri di ricerca non sono più funzionanti,,
CWALM,,False,https://cwalm.ilc.cnr.it/,True,,False,Italian DH Institutions,,False,progetto in lavorazione (finisce nel maggio 2025),2019-05-09 14:20:35,2024-09-30 11:42:13
VOCABO,,False,https://www.treccani.it/magazine/lingua_italiana/speciali/VocaBO/2_Pani.html,True,,False,Italian DH Institutions,,False,,2021-10-24 19:10:43,2024-09-18 18:53:02
GRASPOS,,False,https://graspos.eu/,True,,False,Italian DH Institutions,,False,,,
ROADS,,False,https://csc.dei.unipd.it/roads-project/index.html,True,,False,Italian DH Institutions,,False,,,
Greek Schools,https://viewer.greekschools.eu/,True,https://www.ilc.cnr.it/progetti/greekschools-2/,True,,False,Italian DH Institutions,,False,,,
Atlas,https://dh-atlas.github.io/deliverables.html,False,,False,,False,Italian DH Institutions,,True,è un tool e nei deliverabels raccoglie alcuni risultati vari,,
Archivio ViVo,,False,https://www.clarin-it.it/it/content/archivio-vivo,True,,False,Italian DH Institutions,,False,,2023-11-02 07:28:30,2024-10-04 03:15:23
Perspectiva,https://dlib.biblhertz.it/perspectiva/,True,,False,,False,Italian DH Institutions,,True,alcune immagini non vengono caricate,,
Controcultura,https://echaurren.biblhertz.it/PE.html,True,,False,,False,Italian DH Institutions,,False,,,
WissensGeschichte,https://wissensgeschichte.biblhertz.it/Glossario,True,,False,,False,Italian DH Institutions,,False,,,
Lineamenta,https://fm.biblhertz.it/fmi/xsl/home.xsl?-token.proj=li,True,,False,,False,Italian DH Institutions,,False,,2021-08-03 22:56:58,2024-12-14 20:49:06
Noack,https://db.biblhertz.it/noack/noack.xml,True,,False,,False,Italian DH Institutions,,True,la funzione multilingua non funziona sempre,2006-05-09 17:16:27,2024-05-30 13:10:02
"Eine römische Trilogie: Schudt, Caldana, Schlosser",https://dlib.biblhertz.it/guide/,True,,False,,False,Italian DH Institutions,,False,,2020-08-20 06:02:20,2023-03-07 02:26:21
Heinrich Wölfflin,https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html,True,,False,,False,Italian DH Institutions,,False,,2007-05-13 20:47:23,2024-04-30 03:08:52
Urbs,https://dlib.biblhertz.it/urbs,True,,False,,False,Italian DH Institutions,,False,,,
https://zuccaro.biblhertz.it/,https://zuccaro.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,,
Foto,https://foto.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,2024-07-30 11:16:29,2024-12-11 02:57:50
Rara,https://rara.biblhertz.it/,True,,False,,False,Italian DH Institutions,,False,,2004-06-06 20:10:01,2024-06-15 11:54:25
Gesture Atlas,https://biblhertz.github.io/atlas/,True,,False,,False,Italian DH Institutions,,False,,2008-01-15 21:23:31,2024-12-21 08:37:27
Siena map,https://db.biblhertz.it/siena/siena.xql,True,,False,,False,Italian DH Institutions,,False,,2013-07-03 10:01:42,2024-09-07 08:41:28
